"dispenser_id","10-24 09","10-25 00","10-25 20","10-20 08","10-25 19","10-24 05","10-21 18","10-24 12","10-24 23","10-20 13","10-21 07","10-22 17","10-22 02","10-20 17","10-26 15","10-21 16","10-25 15","10-20 00","10-25 08","10-24 16","10-22 13","10-22 06","10-26 09","10-21 12","10-25 10","10-21 22","10-25 04","10-23 14","10-23 15","10-26 05","10-20 18","10-26 23","10-23 03","10-26 12","10-21 01","10-24 01","10-20 20","10-21 08","10-23 19","10-20 05","10-24 20","10-26 19","10-24 19","10-23 08","10-20 23","10-25 23","10-21 19","10-24 15","10-21 04","10-24 04","10-22 01","10-26 14","10-22 16","10-20 12","10-25 09","10-22 23","10-21 15","10-22 05","10-23 18","10-21 00","10-21 20","10-22 07","10-25 16","10-21 11","10-22 12","10-23 07","10-21 21","10-25 05","10-26 20","10-26 13","10-20 09","10-26 06","10-26 08","10-20 04","10-24 00","10-21 03","10-26 17","10-22 22","10-21 14","10-26 02","10-25 22","10-20 06","10-25 13","10-23 02","10-24 07","10-26 18","10-24 10","10-22 11","10-25 02","10-22 00","10-23 13","10-23 20","10-25 17","10-24 21","10-20 02","10-25 06","10-21 09","10-22 15","10-20 19","10-22 18","10-24 11","10-26 10","10-21 17","10-24 08","10-22 08","10-21 06","10-20 03","10-24 22","10-24 18","10-20 11","10-26 03","10-23 09","10-26 07","10-25 12","10-21 10","10-24 03","10-20 22","10-23 23","10-25 01","10-24 14","10-27 00","10-23 17","10-22 04","10-23 06","10-23 04","10-20 10","10-25 21","10-22 10","10-23 10","10-21 02","10-25 07","10-22 21","10-26 01","10-27 01","10-25 18","10-26 16","10-22 14","10-20 14","10-20 16","10-23 21","10-26 21","10-23 01","10-21 13","10-23 12","10-24 06","10-24 13","10-20 01","10-20 15","10-23 05","10-20 21","10-23 11","10-26 22","10-24 17","10-26 11","10-23 16","10-22 03","10-21 05","10-22 19","10-26 00","10-23 22","10-24 02","10-25 11","10-23 00","10-21 23","10-25 03","10-22 20","10-20 07","10-25 14","10-26 04","10-22 09"
"0","","","","","","","","","","","","","","","","","","","","","","","41.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0","","","","","","","","","","","","","","","","",""
"1","42.0","50.0","","58.0","","49.0","","","","46.0","31.0","","44.0","53.0","44.0","5.0","","56.0","54.0","","54.0","16.0","20.0","50.0","","","","","17.0","","22.0","","16.0","48.0","57.0","","43.0","52.0","","19.0","55.0","","21.0","","53.0","23.0","33.0","","40.0","7.0","1.0","49.0","","55.0","","58.0","8.0","","28.0","32.0","56.0","49.0","","34.0","","","59.0","","46.0","26.0","56.0","32.0","46.0","","49.0","8.0","29.0","32.0","5.0","56.0","17.0","47.0","","17.0","35.0","10.0","","","","23.0","58.0","","","58.0","55.0","","49.0","19.0","57.0","","56.0","51.0","","13.0","32.0","18.0","47.0","27.0","10.0","48.0","40.0","39.0","3.0","","17.0","55.0","50.0","32.0","","","","51.0","33.0","","16.0","44.0","58.0","","","43.0","","15.0","18.0","","","37.0","","31.0","37.0","58.0","5.0","44.0","44.0","30.0","","","55.0","17.0","19.0","56.0","","18.0","","59.0","39.0","32.0","29.0","","49.0","43.0","26.0","","33.0","","","54.0","37.0","","","16.0"
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11001","25.0","","52.0","49.0","51.0","1.0","56.0","","45.0","59.0","19.0","","","","50.0","25.0","","","0.0","42.0","","","21.0","50.0","37.0","","46.0","","","","11.0","","","50.0","50.0","","","35.0","31.0","51.0","34.0","","12.0","","53.0","","51.0","50.0","59.0","56.0","12.0","","59.0","35.0","","","","","47.0","","","","","36.0","","","","","","47.0","39.0","","52.0","","5.0","","","","45.0","56.0","11.0","7.0","38.0","","28.0","","","","2.0","","","35.0","","47.0","","54.0","14.0","7.0","","52.0","38.0","23.0","50.0","","","8.0","8.0","16.0","","42.0","2.0","","","47.0","45.0","","","1.0","58.0","58.0","","59.0","","","","42.0","21.0","","","","54.0","","25.0","","","21.0","32.0","36.0","58.0","29.0","","","28.0","","57.0","34.0","1.0","7.0","","54.0","","","4.0","6.0","","","46.0","58.0","31.0","53.0","57.0","36.0","","","9.0","6.0","57.0","","","39.0"
"11007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0","","","","","","","","","","","","","","","","","","24.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.0","","","","","","","","","","","","","","","","","","","","","","","",""
"11008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0","","","","","","","","","","","","","","","",""
"11011","","","","","","","","","","8.0","","","","","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.0","","","","","","","","","","","","","","","","34.0","","","","","","","","","","","","","50.0","","","","","","","","","","","","","","","","","","","","","54.0","","","","","","","","","","","","","","","","","","3.0","","","","","","","","","","","","","","","",""
"11012","","","","","","","54.0","","","","","","","","","","","","","","","","","","","","","","","","","","","59.0","","","","","","","","","","","","","","","","","","","","","","","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11014","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11021","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.0","","","","37.0","7.0","","","","","","","","","37.0","","","","","","","","","","","","","","","","","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","55.0","","","","","","","","","","","","","","",""
"11023","","","","","","","","","","","","18.0","","","","51.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0","","","","","","","48.0","","","","","","","","","","","","","","","","","","","","","","","","20.0","","","","","","","","","","","","","","","11.0","","","","","","","","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","7.0","","35.0","","","","","","","","","","","","7.0","","","","","","","","","","","","","","","","","","",""
"11024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.0","21.0","","","","","","","","","","","","","","","","","","",""
"11025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11026","","","","","","","","","","","","","","","","","","","","","","","23.0","46.0","","","","37.0","","","","","","","","","","57.0","","","","","","","","","","","","","","","","","","","52.0","","","","16.0","","","","55.0","","","","","59.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","53.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0","","","","17.0","","","","","44.0","","51.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11028","53.0","","","","","","52.0","11.0","","","","50.0","","","","","","","","","58.0","","","53.0","","","","49.0","45.0","","","","","","","","","","36.0","","32.0","","53.0","","","","26.0","","","","","","57.0","22.0","","","17.0","","59.0","","","","","49.0","","","","","","","","","","","","","","","11.0","","","","","","","","54.0","7.0","","","50.0","59.0","","","","","52.0","40.0","","","59.0","","","","","","","","50.0","40.0","","55.0","","","55.0","","18.0","","","35.0","","58.0","","","","","","59.0","56.0","","","","","","","","57.0","","","7.0","","","52.0","49.0","","52.0","","","","","50.0","","","","53.0","","","","","","","","","","","","","","","54.0"
"11029","26.0","","","","","","53.0","","","","","","","","51.0","","","","","57.0","30.0","","","","","32.0","","","","","","","52.0","","","40.0","","","29.0","","","18.0","44.0","","","","","","","","","","59.0","","","58.0","","","","","3.0","","","","39.0","","53.0","","","41.0","","","","","","","9.0","","","","","","21.0","58.0","","","","53.0","","","","","","","","","","37.0","","51.0","","","","","","","","","","","","","","52.0","","","","","","","","","","","","","","","","","30.0","","","","","49.0","9.0","","","","","","16.0","","","31.0","","","53.0","","55.0","","","43.0","46.0","","","54.0","","","","","","","","","","","",""
"11036","","","","","","","43.0","","","","","","","","","39.0","","","","","","","","","","25.0","","","","","","","","","","","32.0","58.0","","","","","","","43.0","","","","5.0","","","","","","","","5.0","","","","26.0","","","29.0","","","12.0","","","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","5.0","","","","","","","","","48.0","","","","","","","","","51.0","","50.0","","","","","","","","","","","","","","","","","","","","","","53.0","","","","5.0","","","","","53.0","","59.0","","","","","","","","","","","","","","","","","","","",""
"11037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11040","","","","","","","","","","","","","","","","","","","","","48.0","","50.0","","","","","","29.0","","","","","","34.0","","","","","","","","","","","","","","","","","","32.0","","","","","","","","","","","","","","","","","","","56.0","","","","","","","","","","","","","29.0","","","","","","45.0","","","","","","","","","","","32.0","","","","","","","","","","","38.0","","","","","","","","","","","","23.0","","","","","","","","","","","54.0","43.0","","45.0","","","","","","","","","50.0","","","","","","","","","","","4.0","","","","","","","","","","",""
"11042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0","","","","","","","","17.0","","","","","","","","","","","","","","","","","","","","","21.0","","","","","","","","","","","","40.0","","","","","","","40.0","","","","","","","",""
"11043","","","","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11044","","","","","","","41.0","","","36.0","","37.0","","6.0","","34.0","","","","","47.0","","","30.0","","","","32.0","","","","44.0","","","","","","","","54.0","","2.0","","","","","53.0","","","","","","43.0","35.0","","","32.0","","","","","45.0","","44.0","21.0","","","","","23.0","","","34.0","","","","49.0","","43.0","","","28.0","","","","","","","","","","","","","","","","22.0","","57.0","","34.0","55.0","24.0","57.0","","","","","","","","46.0","","","","","","","","38.0","","","","","","","58.0","","","","23.0","","29.0","","","53.0","46.0","34.0","","50.0","","53.0","","","","36.0","54.0","","","","0.0","35.0","","","","","33.0","","","","","","47.0","","","32.0","8.0","","51.0"
"11045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.0","","","","","","","","","","","","","","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11046","","","","","","","53.0","","","","","","","","","","","","","57.0","","","","","","","","","14.0","","","","","59.0","","","","","","","9.0","","","","","","","","","","","41.0","","","","","41.0","","","","","","","","","","","49.0","","2.0","","","","","","","","","","","32.0","","","","","","","","","","","","","","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","57.0","","","","3.0","","","","","","","","","","38.0","",""
"11047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
