"dispenser_id","10-24 09","10-25 00","10-25 20","10-20 08","10-25 19","10-24 05","10-21 18","10-24 12","10-24 23","10-20 13","10-21 07","10-22 17","10-22 02","10-20 17","10-26 15","10-21 16","10-25 15","10-20 00","10-25 08","10-24 16","10-22 13","10-22 06","10-26 09","10-21 12","10-25 10","10-21 22","10-25 04","10-23 14","10-23 15","10-26 05","10-20 18","10-26 23","10-23 03","10-26 12","10-21 01","10-24 01","10-20 20","10-21 08","10-23 19","10-20 05","10-24 20","10-26 19","10-24 19","10-23 08","10-20 23","10-25 23","10-21 19","10-24 15","10-21 04","10-24 04","10-22 01","10-26 14","10-22 16","10-20 12","10-25 09","10-22 23","10-21 15","10-22 05","10-23 18","10-21 00","10-21 20","10-22 07","10-25 16","10-21 11","10-22 12","10-23 07","10-21 21","10-25 05","10-26 20","10-26 13","10-20 09","10-26 06","10-26 08","10-20 04","10-24 00","10-21 03","10-26 17","10-22 22","10-21 14","10-26 02","10-25 22","10-20 06","10-25 13","10-23 02","10-24 07","10-26 18","10-24 10","10-22 11","10-25 02","10-22 00","10-23 13","10-23 20","10-25 17","10-24 21","10-20 02","10-25 06","10-21 09","10-22 15","10-20 19","10-22 18","10-24 11","10-26 10","10-21 17","10-24 08","10-22 08","10-21 06","10-20 03","10-24 22","10-24 18","10-20 11","10-26 03","10-23 09","10-26 07","10-25 12","10-21 10","10-24 03","10-20 22","10-23 23","10-25 01","10-24 14","10-27 00","10-23 17","10-22 04","10-23 06","10-23 04","10-20 10","10-25 21","10-22 10","10-23 10","10-21 02","10-25 07","10-22 21","10-26 01","10-27 01","10-25 18","10-26 16","10-22 14","10-20 14","10-20 16","10-23 21","10-26 21","10-23 01","10-21 13","10-23 12","10-24 06","10-24 13","10-20 01","10-20 15","10-23 05","10-20 21","10-23 11","10-26 22","10-24 17","10-26 11","10-23 16","10-22 03","10-21 05","10-22 19","10-26 00","10-23 22","10-24 02","10-25 11","10-23 00","10-21 23","10-25 03","10-22 20","10-20 07","10-25 14","10-26 04","10-22 09"
"19207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19208","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0","","","","","","","","","","","","","","","","","","",""
"19216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19252","","","","","","","47.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","","","","","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","18.0","","","","","","","","","","","","","","","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","43.0","","","","","","","","","","50.0","","","","","","37.0","","","","","","","","","","","","","","","","","",""
"19254","","","","","","","","","","","","","","","58.0","","","","","","","","","","","","","","","32.0","","","","","","","","","","","","","","","","","","","","45.0","","","","","","","","","","","41.0","","","","41.0","","","","","","","","51.0","","","","58.0","","","","","","","","","","","","","","","","","","","","","","","","","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0","","","","","","","","","","","","","","","","51.0","","","","","","","","","","","",""
"19256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19270","","","7.0","","31.0","","","","","","","38.0","","","","","","","","","","","21.0","","","","","","","","","","","","","","","","","","26.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0","","","","35.0","","","","22.0","","","","","","54.0","","57.0","","","20.0","","","","","","","","","29.0","53.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0","","","","","","","","","","","","","37.0","","29.0","","","","57.0","","","","","","","","","","","","","","",""
"19276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19282","","","","","","","31.0","","","","","","","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","53.0","","49.0","","","","","","","","","43.0","","","","","","","","","","","","","48.0","","","","","","","","","","","","","","","49.0","","","","","","39.0","","","","","","27.0","","","","","","","","","","11.0","","","","","","","","","","","","","","","","7.0","","12.0","","","","","","","","36.0","","","","","","","","","44.0","","","","","","","","","30.0","","","","","","","","","","","","16.0","","","","","","","","","","32.0","13.0",""
"19290","","","","","","","","","","33.0","","","14.0","","","","","","","","","9.0","","","","","","45.0","","","","","","","","","","","","","","","","","","","","","","","56.0","","","","","","","42.0","","","","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0","","37.0","","","","","","","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","37.0","","","","","","","","24.0","","1.0","","","","","","","","","","","","","","","","","","","","","",""
"19293","","","48.0","","","","","","","","","57.0","","","","","","","","","50.0","","","47.0","","","","","","","","","","51.0","","","","","21.0","","","","","","","","","","","","","","19.0","","","","","","","","","","","","28.0","","","34.0","","","","","","","","","44.0","","","","","","51.0","","","","","","","","","","","","","","","","","29.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.0","","","","","","","","","54.0","","","","","","","","","27.0","","","","","","53.0","","40.0","","","","","","","","","","","","","","","",""
"19295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0","","","","","","","","","","","","","","","","","","","","","","15.0","","","","","37.0","","","","","","","","","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19298","","","","","","","","","18.0","","","","","","","","","","26.0","","","","","","7.0","","","","","","","","","12.0","","","","","","","","","","","","","","","","","","46.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0","","","33.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0","","","","","","","","50.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"19308","","","16.0","","","","","","","48.0","","","","","","","14.0","","","","","","","","24.0","","","36.0","","","","","","","","","35.0","","","","","","","","","","","","","","","","58.0","","","","","14.0","","","","","","","","","","","","","","10.0","","","","","","","","","","","","","","","","","","","","","29.0","","","","","","47.0","","","","","","","","","","","","","","","","","","","","","5.0","","","","","","","","","","","","","28.0","","","2.0","","56.0","","","","","","","","","","","","","","","35.0","","","","","6.0","","","","","","","","","","31.0","",""
"19310","","","","","","","","","","","","","","","","","","","","","","","","21.0","","","","9.0","","","","","","","","","","","","","","","","","","","","23.0","","","","","","","","","","","","","","","","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","56.0","","","","","","","","","","","","","","","29.0","","","","","","","","","","","","","","","","56.0","","","","","","","","","","","3.0","","","","","","","","","","","","28.0","","","","","4.0","","","","","","","","28.0","",""
"19312","","","6.0","","","","","","","","","","","","40.0","","39.0","","","","","","","44.0","","","","","","","","","","51.0","","","","","15.0","","","","","","","","","","","","","57.0","","","","","","","","","","","9.0","","","","","","","37.0","","","","","","","56.0","","33.0","","","","","","","","","","","","","","","","","","","","","","","56.0","","0.0","","","","","","","","","","26.0","","","","","","34.0","","","","","","","","","56.0","","","","","","25.0","47.0","","","","","44.0","34.0","","","","","","","","","","9.0","","35.0","","","","","","","44.0","","","","","","","","",""
"19314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0","","","","","","","","","","","","","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0","","","","","","","","","","","","","","","","21.0","","","","0.0","","","","","","","","","","21.0","","","","","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19323","","","","","","","","","","","","","","","","","","","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0","",""
"19326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19327","","","44.0","","44.0","","7.0","57.0","","","","29.0","","","","58.0","50.0","","47.0","","","","37.0","54.0","30.0","","","48.0","48.0","","","10.0","","39.0","","58.0","","","52.0","","45.0","","","32.0","","","44.0","36.0","","","","31.0","40.0","","58.0","","34.0","","58.0","","","","47.0","58.0","","19.0","","33.0","50.0","53.0","","","","","51.0","","6.0","27.0","31.0","","","","54.0","","25.0","47.0","52.0","58.0","","","50.0","57.0","19.0","","","","","55.0","","57.0","","22.0","27.0","","","","","","","","","57.0","","46.0","","","","","","54.0","22.0","35.0","","","","","21.0","34.0","30.0","","","31.0","","","31.0","44.0","30.0","","","38.0","12.0","28.0","","47.0","43.0","55.0","","","","","49.0","41.0","42.0","38.0","53.0","","","","43.0","53.0","50.0","44.0","6.0","","","38.0","","51.0","34.0",""
"19331","","","","","","","","","","","","","","","","","","","","","","","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19349","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.0","","","","","","","","","","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19353","","","","","","","","","","","","","","","","","34.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.0","","","","","","","","","","","","","","8.0","","","","","","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19361","","57.0","35.0","33.0","59.0","","59.0","30.0","27.0","55.0","28.0","59.0","0.0","55.0","","53.0","16.0","","15.0","","41.0","1.0","43.0","","59.0","56.0","15.0","","","47.0","54.0","","11.0","4.0","36.0","58.0","59.0","24.0","","34.0","32.0","","56.0","38.0","41.0","48.0","35.0","","","","52.0","27.0","41.0","59.0","39.0","31.0","57.0","51.0","","22.0","","2.0","27.0","46.0","59.0","","48.0","","","53.0","55.0","11.0","42.0","37.0","35.0","28.0","","12.0","46.0","58.0","14.0","31.0","33.0","","","","56.0","59.0","51.0","","41.0","32.0","58.0","","","29.0","59.0","41.0","51.0","59.0","45.0","57.0","51.0","","53.0","","54.0","50.0","","59.0","4.0","","59.0","57.0","56.0","14.0","","","4.0","","","","","38.0","","55.0","52.0","42.0","37.0","","58.0","","59.0","","27.0","","55.0","59.0","10.0","","2.0","","56.0","58.0","","","31.0","38.0","","38.0","32.0","16.0","","58.0","","","","54.0","58.0","","58.0","34.0","41.0","48.0","13.0","36.0","57.0","53.0","","39.0"
"19363","","42.0","","","","","","","","","","","","","41.0","","","","","","","","","","","","","","","","","3.0","","","","","","","","","","37.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","51.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","","","54.0","","","57.0","",""
"19364","","","","","","","","","","","","","","","","","","","","","","","","21.0","","","","","16.0","","","","","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.0","","","","","","","","","","","","","","","","","","","","","11.0","2.0","","","","","","","","","","","","","","","","","36.0","","","","","","","","","","","","","","19.0","","","","","56.0","","","","","","","","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0","","","","","",""
"19367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19371","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19374","","","","","8.0","","","","","","","","","","32.0","","","","","44.0","","","29.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0","","","","","","","","","","","","","","54.0","51.0","","","","","","","","49.0","","","","","","","","","","","","","","","","","","","","","","","","51.0","","","","","","55.0","","","","34.0","","","","","","","","","57.0","","","","58.0","","","","","","","","","42.0","","","","","","","50.0","","","","","","","","","","","","","","","","","51.0","","","","","","","","","","40.0","",""
"19377","","","","","","","","","","43.0","","","","51.0","","","","","","","","","","","","","","","","","","","","","","","44.0","","","","","53.0","","","","","","","","","","41.0","","","","","","","","","","","","","","","","","","57.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0","","","40.0","","","","","","","","","42.0","","","","","","","","","","","","","","","","","","","","","",""
"19378","","","","","","","","","57.0","","","","","","58.0","","","","","","","","","","","","","","34.0","","","","","13.0","","54.0","","","","","","37.0","","","","","","","","","","59.0","","","57.0","","","","","","","","","","","","","","58.0","","","","","","","","","","","","","","45.0","","2.0","52.0","18.0","","","","48.0","","9.0","","","","","","","","","","34.0","","","","","","","","","14.0","","","","30.0","","","","","57.0","","","","","","","","20.0","","","","","53.0","","24.0","","","","36.0","59.0","","","13.0","","","","","","","6.0","35.0","","","","","","","","","","","","","","","","","",""
"19380","","43.0","","","","","","","55.0","","","","","","","","","","58.0","","","","","","","","35.0","","","","","","","","","","","","","","47.0","","","","","","","","","","","","","","14.0","","","","","","","","","","","","","8.0","","52.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0","","","","","","35.0","","","","","","","","","","","18.0","","","","","","","","","","","","28.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0","","","","","","","",""
