"dispenser_id","11-1 13","11-2 18","11-2 11","10-30 21","10-29 23","10-30 2","10-30 4","10-30 10","10-27 6","10-29 17","10-27 13","10-27 1","11-1 16","10-31 16","10-28 14","11-2 8","10-31 9","10-29 4","11-2 22","10-28 3","10-28 19","10-27 23","11-3 6","11-3 22","11-1 20","10-28 2","10-27 17","11-1 8","11-3 11","10-29 11","10-31 11","10-31 5","10-28 17","10-27 20","10-31 22","11-3 9","10-30 13","10-30 8","10-31 15","10-30 3","10-30 5","10-29 3","11-1 15","11-2 12","10-29 0","10-29 19","10-30 12","10-29 14","10-31 8","10-27 2","10-27 15","11-1 5","10-31 19","10-27 5","10-27 10","10-31 20","11-3 13","10-30 23","11-2 23","11-3 2","10-30 16","11-3 12","10-29 22","11-1 21","10-28 21","11-1 1","10-30 20","10-28 20","11-2 5","11-3 23","10-27 14","10-28 7","10-31 23","10-28 6","11-3 7","10-29 8","11-2 17","10-28 10","11-2 9","11-2 6","10-31 12","10-30 9","11-2 2","11-3 18","11-3 3","10-30 17","10-29 18","10-28 22","11-1 9","10-31 4","10-29 12","10-27 9","10-28 11","10-29 2","10-30 6","10-31 7","10-27 16","11-1 0","10-27 21","11-3 20","11-2 4","10-28 9","11-3 14","10-27 3","11-2 1","10-31 18","11-1 19","10-30 1","11-1 4","10-28 5","10-29 10","11-4 0","10-27 11","11-1 11","11-3 1","11-1 14","11-2 13","10-28 12","10-29 13","10-28 23","10-31 17","11-3 17","11-1 10","10-31 0","10-28 15","10-30 18","10-27 8","10-31 13","11-1 18","10-30 15","10-27 4","10-28 0","10-31 3","10-29 6","10-29 7","11-2 0","10-29 15","11-2 16","11-1 22","10-27 19","10-29 1","11-2 7","10-28 4","10-30 7","10-29 5","11-1 17","11-2 14","10-31 21","11-3 8","11-3 19","10-31 2","10-29 20","10-29 16","10-30 0","10-30 11","10-29 9","11-1 3","10-30 22","11-3 21","11-2 3","10-27 7","11-2 20","10-27 12","11-3 15","10-31 14","11-3 4","11-3 10","10-28 8","10-27 22","11-1 6","11-1 12","10-28 1","10-31 6","11-1 23","11-2 19","11-1 7","10-28 13","11-3 0","11-3 5","11-4 1","10-31 10","11-2 15","10-27 18","10-29 21","10-28 18","10-28 16","11-2 21","11-3 16","11-2 10","10-31 1","10-30 14","10-30 19"
"19206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","9.0","","","","","","","","","","","","","","0.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0",""
"19209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","",""
"19216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
