"dispenser_id","11-6 15","11-4 7","11-10 12","11-8 16","11-4 18","11-6 21","11-7 6","11-8 7","11-10 10","11-11 13","11-11 9","11-9 15","11-10 21","11-5 23","11-6 10","11-7 0","11-4 11","11-9 18","11-10 15","11-6 5","11-8 9","11-4 16","11-9 3","11-5 16","11-5 4","11-11 5","11-6 14","11-7 18","11-12 0","11-9 7","11-6 9","11-10 11","11-7 23","11-9 19","11-5 12","11-10 1","11-11 12","11-9 12","11-10 22","11-10 7","11-5 8","11-4 2","11-8 2","11-7 1","11-10 20","11-8 22","11-7 20","11-8 11","11-10 4","11-4 22","11-11 16","11-9 22","11-7 10","11-5 19","11-4 6","11-10 19","11-8 17","11-4 12","11-7 5","11-6 0","11-5 18","11-4 9","11-9 0","11-10 13","11-11 8","11-5 0","11-6 13","11-4 17","11-8 13","11-10 6","11-5 3","11-5 10","11-10 16","11-9 16","11-9 4","11-5 17","11-9 9","11-5 7","11-11 4","11-6 4","11-8 8","11-9 21","11-7 15","11-10 2","11-12 1","11-8 21","11-6 8","11-5 13","11-5 20","11-6 18","11-8 10","11-7 11","11-10 23","11-4 3","11-8 3","11-4 23","11-11 17","11-9 11","11-10 3","11-11 3","11-11 18","11-9 20","11-10 5","11-6 3","11-3 14","11-4 14","11-7 22","11-8 18","11-11 7","11-10 0","11-10 9","11-11 11","11-6 12","11-9 17","11-11 21","11-11 14","11-6 17","11-5 11","11-4 0","11-7 13","11-10 17","11-5 1","11-6 1","11-4 5","11-6 23","11-7 9","11-8 14","11-8 5","11-5 6","11-6 2","11-11 20","11-11 10","11-7 17","11-11 22","11-8 4","11-7 3","11-10 18","11-9 5","11-5 14","11-5 21","11-7 14","11-8 20","11-7 8","11-11 19","11-4 20","11-9 10","11-11 0","11-7 4","11-4 13","11-8 0","11-6 7","11-9 1","11-10 14","11-8 6","11-6 16","11-11 6","11-9 14","11-4 4","11-6 20","11-8 15","11-5 5","11-6 22","11-7 19","11-7 12","11-6 11","11-6 6","11-7 21","11-8 19","11-4 19","11-4 10","11-7 7","11-4 15","11-11 15","11-5 15","11-5 22","11-9 13","11-11 1","11-9 6","11-8 23","11-7 16","11-9 8","11-9 23","11-10 8","11-4 1","11-8 1","11-11 23","11-7 2","11-5 2","11-9 2","11-5 9","11-8 12","11-11 2","11-4 8","11-6 19","11-4 21"
"16790651","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","436.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"19252","","0.0","","","1.0","","","","1.0","0.0","","0.0","0.0","","","","","1.0","0.0","","","","","1.0","","","","","0.0","","","","","0.0","3.0","","","","0.0","0.0","","","","","","","","","","1.0","0.0","1.0","","0.0","0.0","0.0","","","","","2.0","0.0","","","1.0","","1.0","","","0.0","0.0","","","","","1.0","","","","","","1.0","","","","","","1.0","","","","","","","","","0.0","","","","","","","","","","","","","0.0","","0.0","","0.0","0.0","","0.0","","","","0.0","","","0.0","0.0","","","","","","0.0","0.0","","","","","","","","0.0","","","0.0","1.0","0.0","","0.0","","1.0","","0.0","1.0","","","","","2.0","","4.0","","","","0.0","","0.0","","","0.0","0.0","","","0.0","","","","0.0","","","","1.0","","","","","","","","","","0.0","","","","",""
"19254","0.0","1.0","1.0","","","","","","0.0","","","0.0","","","","","","","","","","","","1.0","","","1.0","","","0.0","6.0","","","","0.0","","","","","","","0.0","","","0.0","2.0","","","","","","","","2.0","","","","","","","","","","","","0.0","2.0","","","","","4.0","","1.0","","","","","","1.0","0.0","0.0","","","2.0","","","0.0","2.0","","","","","","","","0.0","0.0","","","","","","","","0.0","","","","","","","0.0","","","0.0","1.0","","","","","","","","","0.0","","","","0.0","","","","","","","","","0.0","1.0","","0.0","","","","","","0.0","","","0.0","","","","0.0","","","","1.0","","0.0","","0.0","","3.0","","","","","","0.0","","","0.0","","0.0","","0.0","","","","","","","","","","","","","","","0.0","",""
"19256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","",""
"19259","","","","","","","","","","","","","","","","","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19267","","","1.0","","","","","","","","","0.0","","","","","0.0","","","","","0.0","","2.0","","","","","","","","","","","3.0","","","","1.0","","","","","","","","","","","","0.0","","","","","","","","","","","0.0","","","","0.0","","","","","","","0.0","","","","","","","","","1.0","","","","","0.0","0.0","","1.0","","","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","0.0","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","0.0"
"19270","1.0","","1.0","","0.0","","","","","","","","","","","","1.0","","","","","2.0","","5.0","0.0","","","","","","","1.0","","","1.0","","","","","","","","","","","0.0","","","","","2.0","","","3.0","","","","","","","","0.0","","1.0","","","0.0","","","","","0.0","0.0","","","","","","","","","","","","","","","1.0","","","","","","","0.0","","1.0","0.0","","","","0.0","","","","","","","","","","","","","1.0","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","0.0","","","","2.0","","0.0","","","","","","0.0","","","","","0.0","","","0.0","0.0","","","1.0","","","","","0.0","","","","","","","","","","","0.0","",""
"19275","","","","","","","","","","","5.0","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","1.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19276","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
