"dispenser_id","11-09 09","11-04 21","11-06 23","11-10 16","11-08 20","11-10 05","11-04 09","11-06 12","11-06 08","11-11 09","11-09 04","11-04 18","11-11 03","11-09 22","11-07 20","11-10 01","11-05 17","11-10 12","11-08 09","11-11 18","11-11 06","11-09 15","11-04 00","11-05 06","11-08 13","11-04 13","11-07 01","11-06 19","11-11 11","11-07 16","11-08 02","11-09 11","11-07 12","11-06 00","11-11 13","11-07 23","11-09 20","11-04 17","11-04 05","11-10 22","11-04 10","11-10 09","11-09 00","11-10 06","11-10 11","11-11 20","11-06 18","11-06 07","11-07 21","11-12 00","11-10 00","11-08 21","11-08 19","11-08 10","11-03 21","11-09 03","11-04 16","11-10 17","11-11 02","11-11 00","11-04 06","11-10 15","11-09 14","11-05 05","11-10 04","11-08 14","11-05 16","11-05 11","11-08 08","11-06 13","11-11 17","11-07 10","11-06 01","11-04 02","11-08 03","11-09 10","11-08 18","11-04 22","11-09 21","11-11 14","11-10 23","11-10 18","11-04 11","11-11 07","11-04 07","11-05 10","11-07 02","11-03 20","11-05 09","11-08 07","11-07 19","11-07 08","11-07 13","11-05 21","11-06 20","11-09 17","11-08 00","11-06 06","11-05 04","11-09 18","11-03 13","11-03 22","11-05 12","11-09 06","11-05 01","11-05 08","11-07 22","11-10 03","11-05 15","11-10 10","11-06 17","11-06 05","11-06 14","11-07 11","11-09 02","11-09 07","11-07 00","11-06 16","11-04 23","11-11 05","11-12 01","11-04 15","11-10 07","11-10 14","11-04 12","11-08 17","11-06 10","11-08 06","11-08 11","11-10 19","11-10 08","11-06 21","11-08 04","11-07 03","11-11 01","11-08 22","11-05 00","11-07 14","11-10 20","11-11 08","11-09 13","11-05 22","11-06 02","11-11 15","11-04 08","11-07 07","11-05 19","11-07 18","11-04 03","11-05 07","11-04 14","11-05 14","11-05 13","11-06 11","11-11 19","11-05 02","11-11 04","11-06 22","11-11 23","11-07 09","11-09 19","11-09 16","11-08 01","11-04 19","11-09 23","11-12 02","11-05 03","11-10 02","11-11 12","11-09 05","11-07 05","11-06 15","11-08 15","11-11 22","11-03 14","11-06 04","11-10 13","11-04 20","11-09 08","11-08 23","11-07 06","11-05 23","11-09 01","11-07 15","11-04 01","11-11 16","11-07 04","11-08 05","11-04 04","11-07 17","11-08 16","11-05 18","11-10 21","11-08 12","11-11 21","11-06 03","11-11 10","11-09 12","11-05 20","11-06 09"
"1","53.0","","49.0","5.0","33.0","","","49.0","","38.0","0.0","","","","","9.0","","50.0","","59.0","","","","42.0","","28.0","37.0","","29.0","","31.0","","","","","51.0","59.0","12.0","","","","","49.0","","53.0","56.0","","","57.0","","","58.0","","","","51.0","","","","","","2.0","","55.0","","","","","21.0","","37.0","","","21.0","58.0","26.0","","34.0","","47.0","","","6.0","46.0","","28.0","37.0","","","58.0","","58.0","","0.0","59.0","","53.0","21.0","","","","","","57.0","8.0","21.0","54.0","13.0","","","","","","","40.0","14.0","","","56.0","","","","","","","","","11.0","30.0","","54.0","58.0","53.0","","","55.0","43.0","9.0","","","8.0","","","54.0","","43.0","","","","","56.0","36.0","54.0","","55.0","27.0","41.0","59.0","","","","","46.0","56.0","1.0","","","","","58.0","58.0","","","","","","","","59.0","41.0","54.0","","53.0","","","59.0","22.0","53.0","","46.0","","","49.0","","40.0","","","","",""
"11001","","","","","","59.0","","","","","","","","45.0","","","","59.0","","","16.0","57.0","","26.0","","","","","","","","","","","","","54.0","","","","","29.0","","42.0","","","16.0","34.0","","","","","","","","","","","","","","","","","","","51.0","","","40.0","","","","55.0","","","","","","28.0","","","41.0","42.0","11.0","","","","51.0","","","","","","","6.0","","","","","","","32.0","","","","","","","23.0","14.0","","26.0","","","","","54.0","","","","","","","","","23.0","","","","","","","","","","","","","","","","","","40.0","","","","55.0","","","","27.0","","","","","","","","35.0","6.0","","","","","12.0","","","","","","","","","","1.0","","","","","","","","","11.0","","","","","","","","","55.0","","34.0","","",""
"11007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11008","","40.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.0","","","","","","","","","","","","","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11010","","","","","","","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11014","","","","52.0","","","","","","","","","","","","","","","","","","59.0","","","","","","","","","","","","","","","20.0","","","","","","","","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.0","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","","","","","","","","","","","","","","","","","","57.0","","","","","","","","","","","","","","","","","","","","26.0","","","","","","","2.0","9.0"
"11023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11026","1.0","","","","","","","","","","","","","","","","","","","","","13.0","","","","","","","","","","","","","","","","30.0","","","38.0","","","","","","","","","","","","","","","","53.0","","","","","","","","","","","","","","","","","","","","","","","","","48.0","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","8.0","","","","","","","","","","","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","54.0","","","","","","","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0"
"11029","","","46.0","","","","","59.0","","","","","","","46.0","","","","","","","","","","","","","","","","","","","","","57.0","","","","","","","9.0","","","","","","29.0","","","","","","","","","","","","","","","","","","","","","58.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0","50.0","","","48.0","","35.0","","","","","","","","","47.0","13.0","","","","","","","","","","","","","59.0","","41.0","","","","","","","","","","","","","45.0","","","","","","","","","","","0.0","","","","","21.0","","","","","","","","","","","","","","","27.0","","","","","","","","","","","","","","9.0","","","","","","","59.0",""
"11030","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11036","","","","","","","","","35.0","","","","","1.0","","","3.0","","","","18.0","","","","","","","","","","","","","","29.0","","","","","","","","","","6.0","","","4.0","","","","","","","","","","","","","","33.0","","","","","","","","","","","","","","","","","","","","","27.0","","","","","","","","","","","","","51.0","","","","59.0","","","","","","","","","","59.0","","","","","","","","","","","","2.0","","20.0","","","","","","","","","","","","","","","","","","","","15.0","","","","","","","","","","","","","","","","","58.0","","","","","","","","","","","","","","","1.0","","","","","","","","","","27.0","","","","","","","","","","","","","","48.0"
"11040","","","","","","","","41.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0","","","","","","","","","","","","","","","","","","","","35.0","","","","","","","","","53.0","","","","","","","","","","","","","","","48.0","","","","","","","","","","","","","","","","","","","","","","","","52.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0","","","","","","","","","","","54.0","1.0","","","","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0","","","","","","","","","","",""
"11042","","","","","57.0","","","","","","","","","","","","","1.0","","","","48.0","","","","","","","","","","","","","46.0","","","40.0","","","","","","","58.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","","","","","","59.0","","","","","","","","","","","","","","","","","57.0","","","","16.0","","","","","","","","","","","","21.0","","","","","","","","","","","","","","","","","","","","","","","","55.0","","","","","","","","","","","","59.0","","","","","","","","","","","","","32.0","58.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0"
"11043","","","","","","","","","","","","","","","","","30.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11044","","","","","","","","","","","","","","44.0","","","6.0","37.0","","55.0","","","","","","","","","36.0","","","","","","","","1.0","","51.0","48.0","","55.0","","","50.0","12.0","","","","","","","","","","","","56.0","","0.0","","57.0","30.0","","","","","","","","","","","23.0","","","","","","","","","57.0","","","","","","","","","","","","","","","","","53.0","","","","","","","","","","59.0","","","","","","","","","","","","","","","","","","","57.0","52.0","","","","","","","","","52.0","","46.0","","","","","","","","","","","","","","46.0","","","","29.0","","","38.0","","","","","","","","","","","","10.0","","","","","","","","","","","","14.0","","","","","","","54.0","","53.0","","","31.0","",""
"11046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0","","","","","","38.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0","","","","","","","","","","","","","","","","","49.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11050","6.0","","","14.0","58.0","44.0","59.0","45.0","","55.0","23.0","","","59.0","50.0","25.0","","26.0","37.0","","","58.0","55.0","","34.0","55.0","44.0","56.0","35.0","18.0","19.0","","17.0","","46.0","36.0","","","57.0","54.0","58.0","10.0","","35.0","54.0","56.0","57.0","","52.0","59.0","59.0","52.0","","43.0","","45.0","51.0","48.0","","58.0","19.0","49.0","9.0","","56.0","54.0","","","59.0","51.0","","48.0","","46.0","59.0","4.0","","","54.0","","59.0","54.0","48.0","59.0","55.0","","","","","19.0","38.0","43.0","18.0","","","","","","","","","","","47.0","","","19.0","23.0","","49.0","32.0","","24.0","","","58.0","48.0","40.0","","","39.0","5.0","53.0","44.0","29.0","","40.0","50.0","39.0","48.0","56.0","56.0","45.0","59.0","","24.0","","54.0","58.0","","55.0","","","49.0","52.0","22.0","","11.0","23.0","","18.0","","19.0","59.0","48.0","","","20.0","58.0","27.0","45.0","16.0","","","33.0","","","","","","51.0","59.0","55.0","1.0","","","34.0","","","","52.0","","13.0","58.0","58.0","","26.0","","58.0","47.0","","","14.0","59.0","58.0","","39.0","43.0","",""
"11051","33.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0","",""
"11052","","","","","","","","","","","","19.0","","38.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","41.0","","50.0","","","","","","","","","","","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0","56.0","","28.0","","","","","","","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
